2024-10-24 15:05:33,154 - INFO - Starting contact tracking system...
2024-10-24 15:06:07,271 - INFO - Tracking ruby at (5, 3)
2024-10-24 15:06:08,799 - INFO - Tracking ruby at (5, 3)
2024-10-24 15:06:10,320 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:06:13,853 - INFO - Tracking ruby at (6, 1)
2024-10-24 15:06:14,373 - INFO - Tracking ruby at (6, 0)
2024-10-24 15:06:17,902 - INFO - Tracking ruby at (5, 1)
2024-10-24 15:06:18,414 - INFO - Tracking ruby at (5, 1)
2024-10-24 15:06:21,937 - INFO - Tracking ruby at (5, 0)
2024-10-24 15:06:25,461 - INFO - Tracking ruby at (4, 1)
2024-10-24 15:06:25,974 - INFO - Tracking ruby at (4, 1)
2024-10-24 15:06:29,502 - INFO - Tracking ruby at (5, 0)
2024-10-24 15:06:37,033 - INFO - Tracking ruby at (4, 0)
2024-10-24 15:06:37,556 - INFO - Tracking ruby at (3, 0)
2024-10-24 15:06:38,069 - INFO - Tracking ruby at (3, 0)
2024-10-24 15:06:41,601 - INFO - Tracking ruby at (4, 1)
2024-10-24 15:06:42,111 - INFO - Tracking teddy at (5, 3)
2024-10-24 15:06:42,627 - INFO - Tracking ruby at (5, 1)
2024-10-24 15:06:43,138 - INFO - Tracking teddy at (5, 2)
2024-10-24 15:06:44,663 - INFO - Tracking ruby at (6, 1)
2024-10-24 15:06:45,170 - INFO - Tracking teddy at (5, 3)
2024-10-24 15:06:46,693 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:06:47,213 - INFO - Tracking teddy at (4, 4)
2024-10-24 15:06:48,734 - INFO - Tracking ruby at (6, 0)
2024-10-24 15:06:49,253 - INFO - Tracking teddy at (4, 5)
2024-10-24 15:06:50,776 - INFO - Tracking ruby at (5, 1)
2024-10-24 15:06:51,291 - INFO - Tracking teddy at (4, 5)
2024-10-24 15:06:52,813 - INFO - Tracking ruby at (4, 0)
2024-10-24 15:06:53,324 - INFO - Tracking teddy at (4, 5)
2024-10-24 15:06:54,842 - INFO - Tracking ruby at (4, 0)
2024-10-24 15:06:55,363 - INFO - Tracking teddy at (5, 4)
2024-10-24 15:06:56,884 - INFO - Tracking ruby at (5, 0)
2024-10-24 15:06:57,393 - INFO - Tracking teddy at (6, 3)
2024-10-24 15:06:58,915 - INFO - Tracking ruby at (4, 0)
2024-10-24 15:06:59,436 - INFO - Tracking teddy at (6, 4)
2024-10-24 15:07:00,958 - INFO - Tracking ruby at (4, 1)
2024-10-24 15:07:01,466 - INFO - Tracking teddy at (7, 5)
2024-10-24 15:07:02,988 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:07:03,505 - INFO - Tracking teddy at (7, 6)
2024-10-24 15:07:05,024 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:07:05,546 - INFO - Tracking teddy at (8, 5)
2024-10-24 15:07:07,066 - INFO - Tracking ruby at (6, 2)
2024-10-24 15:07:07,586 - INFO - Tracking teddy at (9, 4)
2024-10-24 15:07:09,108 - INFO - Tracking ruby at (7, 2)
2024-10-24 15:07:09,624 - INFO - Tracking teddy at (9, 4)
2024-10-24 15:07:11,145 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:07:11,666 - INFO - Tracking teddy at (8, 3)
2024-10-24 15:07:13,187 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:07:13,707 - INFO - Tracking teddy at (8, 4)
2024-10-24 15:07:15,229 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:07:15,748 - INFO - Tracking teddy at (8, 4)
2024-10-24 15:07:17,267 - INFO - Tracking ruby at (7, 0)
2024-10-24 15:07:17,777 - INFO - Tracking teddy at (7, 3)
2024-10-24 15:07:19,298 - INFO - Tracking ruby at (8, 0)
2024-10-24 15:07:19,818 - INFO - Tracking teddy at (8, 4)
2024-10-24 15:07:20,333 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:07:20,849 - INFO - Tracking teddy at (9, 3)
2024-10-24 15:07:22,372 - INFO - Tracking ruby at (7, 0)
2024-10-24 15:07:22,879 - INFO - Tracking teddy at (9, 4)
2024-10-24 15:07:24,401 - INFO - Tracking ruby at (8, 1)
2024-10-24 15:07:24,919 - INFO - Tracking teddy at (8, 5)
2024-10-24 15:07:26,439 - INFO - Tracking ruby at (8, 0)
2024-10-24 15:07:26,948 - INFO - Tracking teddy at (9, 5)
2024-10-24 15:07:28,473 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:07:28,981 - INFO - Tracking teddy at (9, 5)
2024-10-24 15:07:30,502 - INFO - Tracking ruby at (7, 2)
2024-10-24 15:07:31,009 - INFO - Tracking teddy at (8, 4)
2024-10-24 15:07:32,531 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:07:33,043 - INFO - Tracking teddy at (7, 5)
2024-10-24 15:07:34,563 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:07:35,083 - INFO - Tracking teddy at (6, 5)
2024-10-24 15:07:36,607 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:07:37,128 - INFO - Tracking teddy at (6, 4)
2024-10-24 15:07:38,653 - INFO - Tracking ruby at (8, 2)
2024-10-24 15:07:39,173 - INFO - Tracking teddy at (6, 5)
2024-10-24 15:07:40,691 - INFO - Tracking ruby at (7, 2)
2024-10-24 15:07:41,201 - INFO - Tracking teddy at (5, 4)
2024-10-24 15:07:42,723 - INFO - Tracking ruby at (7, 1)
2024-10-24 15:07:43,244 - INFO - Tracking teddy at (4, 5)
2024-10-24 15:07:44,769 - INFO - Tracking ruby at (6, 1)
2024-10-24 15:07:45,291 - INFO - Tracking teddy at (3, 5)
2024-10-24 15:07:46,811 - INFO - Tracking ruby at (6, 2)
2024-10-24 15:07:47,333 - INFO - Tracking teddy at (2, 5)
2024-10-24 15:07:48,851 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:07:49,370 - INFO - Tracking teddy at (3, 5)
2024-10-24 15:07:50,893 - INFO - Tracking ruby at (7, 4)
2024-10-24 15:07:51,412 - INFO - Tracking teddy at (3, 6)
2024-10-24 15:07:52,933 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:07:53,454 - INFO - Tracking teddy at (3, 7)
